name,operator_type,opening_hours,phone_number,email_address,number_of_employees,number_of_students,comments,type,lat,long
Heavenly Garden Montessori,private,Su- Fr 9:00-16:00,9846034944  9846036219 9856036219,,8,,,kindergarten,28.19016518,83.96545205
Kids Valley Montessori,private,,061-461211,,,,,kindergarten,28.1883932,83.96998095
Growing Buds Pre-School,,10:00-16:00,061-526002,,,,,kindergarten,28.22604638,83.99972515
Balbatika Montessori Pre School,private,,061-534737  9846035744,,,,,kindergarten,28.2140626,83.98314297
My Montessori Pre School,private,,061-551057  9804109427  9806601880  9806790229,mymontessori061@gmail.com,,,,kindergarten,28.21440255,83.9836698
Akshyar Montessori,private,,9804180490,,,35,,kindergarten,28.21568732,83.97927885
Small Heaven Montessori,,,,,,,,kindergarten,28.21240163,84.00392827
Muna Montessori School,private,,,,,,,kindergarten,28.23452875,83.98341078
Bal Bikas Kendra,,,,,,,,kindergarten,28.18784203,84.02626953
Chhunumunu Kinder Homes,private,,9856004799,,,,,kindergarten,28.20796708,83.97606938
Bihani Montesory,private,10:00-16:00,061-525409,,,,,kindergarten,28.2214438,83.9790097
Puspa Sadan Acadeny,private,10:00-17:00,,,,,,kindergarten,28.2201222,84.0000492
Kalyan Tatha Surakshya Samiti Diwa Sisu Shayar kendra,,,,,,,,kindergarten,28.20758735,84.01100695
Angels Montessori Pre-School,private,,061-463032,,,,,kindergarten,28.21023413,83.9709399
Himalaya Montessori English Bording school,,,,,,,,kindergarten,28.19077777,83.9801777
Bal Bikas Kendra,government,,,,,,,kindergarten,28.19178215,83.98246187
Hills Bud Montessori School,private,Su-Th 10:00-16:00  Fr 10:00-13:00,,,8,108,,kindergarten,28.2143799,84.00731828
Pokhara Montessori Kinder Home,private,08:30-17:00,061-442277,,8,24,,kindergarten,28.24932145,83.9864631
Safe Kids Pre School,,,,,,,,kindergarten,28.219287,83.9887782
Crystal International Montessori Kinder World,,,061 461773  9806698277,,,,,kindergarten,28.20809174,83.96582087
New Baby Montessori school,,,61691060,,,,,kindergarten,28.24334868,83.98932215
Jasmine Montessori,private,,,,,,,kindergarten,28.22576882,83.99636863
Child Development Pre-primary Health Care Centre,government,Su-Fr 10:00-14:00,61465706,,,,,kindergarten,28.24186256,83.95046945
Bindabasini Child Care,private,,,,,,,kindergarten,28.23855905,83.98249985
Metro Playgroup Section,private,,061-536045  061-539171,,,,,kindergarten,28.20914428,83.99885815
Emmanuel Montessori,,,,,,,,kindergarten,28.18341813,83.99003268
Pragma Montessori Home,,,061-530739  9846024752,,,,,kindergarten,28.22177262,83.98926037
Sakura Montessori And Pre School,private,,061-432723,,,,,kindergarten,28.2022841,83.99444742
Stuti Trillium Montessori,,,061-532253  9846084406,,,,,kindergarten,28.21089952,83.99865531
Suvatara 3 Angel Montessory School,,,061-430298,,,,,kindergarten,28.20563432,83.99358905
Mount Abora Montessori Academy,private,,061-696491,,,,,kindergarten,28.2043609,83.99872787
Ridgewater Montessori School,private,,9805894654  061-431395,,,,,kindergarten,28.20379174,84.00106823
Mount Tops Kids Zone,,,,,,,,kindergarten,28.21844045,84.03150877
Little Leareners Boarding School And Montessori,private,,61533083,Deepu.bhari@gmail.com,4,42,,kindergarten,28.23384678,83.98043968
Saint Valley Pre School,private,,61539967,Saintvalleym@gmail.com,,42,,kindergarten,28.23596683,83.98083903
Prime Montessori School,,,,,,,,kindergarten,28.23140848,83.99749483
Holy Kindergarden School,,,,,,,,kindergarten,28.22066028,83.99062368
Demo Children Homes,,,,,,,,kindergarten,28.20000538,83.9895623
Shree Montessori Preprimary Child Care Centre,,,9846112347,,,,,kindergarten,28.22741595,83.98440567
Malepatan Montessori,private,,61535493,,,,,kindergarten,28.21543385,83.97793505
Little Buds Monteessori,private,10:00-16:00,,,,,,kindergarten,28.20251013,83.97416065
B.M Montessori Elementary School,private,,061-528788,bmmontessori70@gmail.com,,,,kindergarten,28.21928623,84.00013535
Early Childhood Academy,private,10:00-15:00,061-550290,,,,,kindergarten,28.22223077,83.99230275
Euro Kids Pre-School,private,Su-Fr 09:30-15:00,061 535948,,,,,kindergarten,28.2184254,83.98399395
Little Stars Pre-School Academy,private,Mo-Fr 9:30-18:00,9846112347,Littlestarspkr@gmail.com,,,,kindergarten,28.22775345,83.98366735
Pokhara Montessori Kinderhome,private,,61537879,,,,,kindergarten,28.2230851,83.9836818
Spiral Galaxy Academy,private,,61528624,,,,,kindergarten,28.24413468,83.9843319
