name,operator_type,opening_hours,phone_number,email_address,emergency_service,icu,nicu,operating_theatre,x_ray,ambulance_service,number_of_staff,number_of_Beds,Comments,type,lat,long
Fishtail Hospital & Research Centre,private,,061-528999,hospitalfishtail@gmail.com,yes,yes,yes,yes,yes,yes,136,100,,hospital,83.9901561,28.22586129
Manipal College of Medical Sciences,private,,"+977 - 61 - 440600, 440390, 440387",mcoms@manipal.edu.np,yes,yes,yes,,yes,yes,854,750,,hospital,83.99664599,28.23587014
Fewa City Hospital,private,"mo-fr 8:00-17:00, sa 9:30-17:30, su 9:30-15:00",+977 1 532685;532686;538225,,yes,yes,yes,,yes,yes,225,100,,hospital,83.98177644,28.2069027
Gandaki Medical College and Teaching Hospital,private,8:00-16:00,"061 538595, 538598",ceo@gmc.edu.np,yes,yes,yes,,yes,yes,822,606,,hospital,83.98760515,28.21094618
Western Regional Hospital,government,,061-520066; 520067; 520461,wrhpokh@gmail.com,yes,yes,yes,yes,yes,no,691,350,,hospital,83.99752917,28.21269911
Padhma Nursing Homes,private,,"+977 61 520159, 523048",padmanursing@gmail.com,yes,no,no,,,yes,83,50,,hospital,83.98655194,28.21958673
Himalaya Eye Hospital,NGO,,"+977-(061)-461168, 460458, 463156",heh@ntc.net.np,yes,no,no,yes,no,no,100,51,,hospital,83.97743358,28.19037244
CIWEC Hospital,private,24/7,"061-463082, 061-467053",pkradministrator@ciwec-clinic.com,yes,no,no,no,yes,yes,25,15,,hospital,83.95900282,28.20929863
Lake City Hospital and Critical Care,private,24/7,61-533303;441000,info@lakecityhospital.org,yes,yes,yes,,yes,yes,15,25,,hospital,83.98374235,28.2208174
Sparsh Aayurveda Hospital,private,,"061-531828, 061-533798",,yes,no,no,,yes,no,8,10,,hospital,83.98475823,28.21293865
Regional Hospital,private,,+977 61 533231,regionalhospital0@gmail.com,yes,yes,yes,,yes,no,57,38,,hospital,83.97533253,28.21418703
Family Homiopathy Hospital,private,,+977 61 432604,familyhospital@gmail.com,no,no,no,no,yes,no,10,10,,hospital,83.99313285,28.2051737
Kaski Sewa Hospital and Research Center,private,,"061-528161, 528162",info@kaskisewahospital.com,yes,yes,yes,,yes,yes,124,100,,hospital,84.00073877,28.21316944
Charak Memorial Hospital,private,8:00-18:00,061-532778,charak.memorial@gmail.com,yes,yes,yes,,yes,yes,100,,,hospital,83.9861013,28.2107833
Chauthe Hospital and Research Centre,private,24/7,061 501140,,yes,no,no,,yes,no,28,15,,hospital,84.02346265,28.1923338
Sahara Hospital,private,24/7,61-539858,hospital.simil@sahara.com,yes,yes,yes,,yes,yes,45,55,,hospital,83.983226,28.23143023
Metro City Hospital,private,,061-526531,,yes,yes,yes,yes,yes,yes,,,,hospital,83.98160966,28.21184801
AB Care and Rehabilitation Center,private,24/7,061-521580,abcarehabilitation@gmail.com,no,no,no,no,yes,no,17,15,,hospital,83.9826936,28.23846325
BG Hospital and Research Center,private,,166 061 52111,bghospital2069@gmail.com,yes,no,no,,no,no,53,15,,hospital,84.00327316,28.21571634
Kantipur Institute of Health Science,private,,"+977 61 530725, 061538364",kdhpkr@hotmail.com,no,no,no,,no,no,26,20,,hospital,83.98488283,28.21342118
Sai Archana Hospital,private,,061-541587,,no,no,no,,yes,no,25,25,,hospital,83.99786374,28.21902096
