name,xcoord,ycoord,,
Nabil Bank Pulchowk,85.3189167,27.682751,,
Phils Monex Exchange,83.9585742,28.2166079,,
Himalayan Bank,85.3134911,27.7137361,,
Everest Bank,85.3117935,27.7165781,,
Kist Bank,85.3113645,27.7138528,,
Nabil Bank,85.3091728,27.7029907,,
 ,85.3164903,27.6800046,,
 ,85.5192477,27.7182224,,
 ,84.4944873,27.5771501,,
 ,84.2436778,28.5508231,,
Standard Chartered Bank Nepal Limited,83.9875565,28.2206409,,
Laxmi Bank Limited,85.321487,27.6681844,,
 ,85.3101133,27.7150583,,
 ,85.3252103,27.6722119,,
 ,85.3428173,27.7063307,,
 ,85.3416371,27.7045961,,
Muktinath Bikas Bank Ltd,83.7688638,28.2994674,,
 ,85.3498155,27.697447,,
Nabil Bank,85.3137108,27.6941109,,
 ,85.3141541,27.7140322,,
Alpine Development Bank,85.5204112,27.7189426,,
 ,85.5194274,27.7183656,,
Annapurna Finance Limited,83.8711326,28.0987739,,
Muktinath Bikash Bank Limited,83.8716737,28.0997548,,
 ,85.3178789,27.7188159,,
Machhapuchchre Bank,83.7248366,28.7827597,,
Agriculture Development Bank ( Ratna Park Branch ),85.3177198,27.7072789,,
ICFC,85.5175643,27.6316877,,
Laxmi Bank,85.5183311,27.6311954,,
Civil Development Bank,85.5213599,27.6305229,,
Nmb Bank,85.517274,27.6314423,,
Annapurna Bkas Bank,85.518889,27.631395,,
 ,85.3247757,27.6727547,,
 ,85.3243515,27.6729825,,
Deva Development Bank,85.3239652,27.6708731,,
temple finance,85.3247366,27.6696189,,
bank of kathmandu,85.3151465,27.6748727,,
Civil Bank Limited,85.3278858,27.6697025,,
nepal bank ltd,85.3229676,27.673761,,
sunrise bank,85.3215507,27.6740871,,
NB bank,85.3191939,27.6713666,,
Guna finance,85.3216857,27.6702692,,
 ,85.3143876,27.6723099,,
Sunrise Bank,85.3414151,27.7031169,,
Nic Asia Bank,85.5219071,27.6297236,,
Corporate Development Bank,85.5197527,27.6308485,,
Country Development Bank,85.5263712,27.6297216,,
Dibya Energy,85.5202691,27.63041,,
IFD Bank,85.5181541,27.6312333,,
Nepal Bank,85.5243376,27.630147,,
Nepal Investment Bank,85.5232868,27.6299642,,
Rastriya Banijiya Bank,85.5236367,27.6293226,,
