Name_of_Br,xcoord,ycoord
Ghagi Pula,87.5254166670001,26.462305556
Dhadari Pul,87.494583333,26.4609722220001
Duduwa Khola,87.2614722220001,26.456361111
Bramapura Khola,87.257972222,26.4562500000001
Kesaliya Khola,87.245222222,26.449638889
Tengra,87.2229722220001,26.4542222220001
Budhi Khola,87.1721388890001,26.451361111
Ghordabe,86.7149444440001,26.545888889
Karaha,86.7028333330001,26.5499722220001
Koshi,86.6805555560001,26.557944444
Tamanasiya,86.4536944440001,26.6020833330001
Kalyan olahidhar,86.398611111,26.6129722220001
Trishula,86.3491666670001,26.6228055560001
Gagan -2,86.3032777780001,26.626916667
Galchho,86.2910555560001,26.629333333
Saraha,86.2717222220001,26.6358611110001
Themu Khola,86.217,26.6521666670001
Tamor,87.7084444440001,27.1523888890001
Arun Khola,87.2676666670001,27.1395000000001
Ashina Khola,87.0869166670001,27.199138889
Dhaula Bridge,87.9998333330001,26.6147777780001
Simanti Bridge,88.0017777780001,26.613694444
Harchana Bridge,88.0232777780001,26.603388889
Kukurbhuka,88.027194444,26.600888889
Debniya Bridge,88.0473055560001,26.5857777780001
Jura Pani,87.7160000000001,26.4935833330001
Lal pani,87.7129166670001,26.5943611110001
Gaira,87.708888889,26.616861111
Koshi Nahar,86.876277778,26.538694444
Koshi Bridge,86.8633055560001,26.511916667
Mahuli,86.853166667,26.508861111
Inerwa-1,86.848083333,26.509083333
Inerwa-2,86.8462222220001,26.5090555560001
Manaspur,86.8370000000001,26.5111944440001
Jita Manaspur,86.827194444,26.5128333330001
Dhobighat(Sarajpur),86.818222222,26.5139722220001
Canal Crossing,86.8100277780001,26.5181666670001
Jita Bridge,86.796805556,26.521666667
Khando Branch,86.793166667,26.5231944440001
Khando,86.7872222220001,26.522777778
Jharuwa,86.7835277780001,26.5273888890001
jhalahi,86.772222222,26.5315555560001
Pump Canal,86.7648333330001,26.5326666670001
Bhaluwai,86.752722222,26.5349166670001
Koshi Pump nahar,86.7438888890001,26.5625833330001
Bhaluwahi,86.7487500000001,26.530861111
Koshi nahar,86.7475833330001,26.5014722220001
Bhaluwahi,86.758305556,26.474722222
Tiljuga,86.7704166670001,26.459083333
Kamala Nahar,86.2570277780001,26.732361111
Kamala Nahar-1,86.2017777780001,26.6387777780001
Kamala Nahar-2,86.201138889,26.6370000000001
Kamala Nahar-3,86.2007500000001,26.6365277780001
Singhyia,87.2970000000001,26.459416667
Kukurpula,87.3058333330001,26.460583333
Kalibhasa,87.3200555560001,26.4649166670001
Madhura,87.3326944440001,26.4658055560001
Judi,87.3374444440001,26.4655000000001
Lohandra,87.3579722220001,26.46975
Kadhmaha,87.3713888890001,26.472
Dadar Baria-1,87.3851388890001,26.4721666670001
Dadar Baria-2,87.3964722220001,26.4723611110001
kersia Gadiya,87.4068888890001,26.471388889
Bhaluwahi,87.4328611110001,26.4695833330001
Cheka,87.4550833330001,26.4654166670001
Chesang,87.4711111110001,26.466111111
Bakra Branch,87.4774444440001,26.4646666670001
Bakra,87.479555556,26.464472222
Jirikhimti-1,87.4760277780001,27.174611111
Jirikhimti-2,87.4776944440001,27.177027778
Khahare-1,86.2726666670001,26.874861111
Khahare-2,86.2721111110001,26.878805556
Khahare-3,86.2632222220001,26.889666667
Naujanako Chihan,86.2609444440001,26.891333333
Aahale,86.2700277780001,26.916472222
Narange,86.2757777780001,26.9264166670001
Mateu khahare,86.2986111110001,26.947194444
Hadiya Khola,86.3313055560001,26.957555556
Jurpaniya,86.3477222220001,26.9560000000001
Tawa Khola,86.3686111110001,26.9578333330001
Nainekhadi,86.3926666670001,26.992666667
Maruwa Khola,86.3989444440001,26.992666667
Sunkoshi,86.4006944440001,27.1711111110001
Piluwa Khola,87.3210833330001,27.2662777780001
Sawa Khola,87.2131944440001,27.288444444
Tengri,87.2701750000001,26.5715555560001
Tengra,87.2296388890001,26.581111111
vatiya,87.21925,26.587305556
Maria,87.2064722220001,26.5951944440001
Jwala Maria,87.205027778,26.5963611110001
Barchaba Paini,87.2023333330001,26.5979444440001
Gadang,87.1894444440001,26.604
Dattakicha,87.1931944440001,26.688777778
Singhiya,87.1914166670001,26.6973611110001
Canal crossing,87.1908333330001,26.709722222
Canal escape,87.1903055560001,26.7105
Sunsari,87.1860833330001,26.716972222
Pidari,87.1805833330001,26.7252222220001
Canal escape,87.1698888890001,26.7391111110001
Pulah,87.16425,26.742361111
Belapul,87.1573611110001,26.744611111
Canal crossing,87.1537777780001,26.7514722220001
Bishadi,87.1582222220001,26.7835000000001
Satrahddi,87.1566388890001,26.7921111110001
Patnali,87.154722222,26.8010833330001
Karam Khola,87.157555556,26.815138889
Gauri,87.156972222,26.822444444
Bramananda Khola,87.161472222,26.871777778
Gauri,87.159555556,26.8231666670001
Trijuga,86.9447222220001,26.7411111110001
Chandra canal,86.9327500000001,26.735916667
Trijuga,86.8812500000001,26.7944444440001
Dwar Khola-2,86.8650555560001,26.795361111
Deodhar,86.8275,26.807666667
Timai,86.808527778,26.8015
Ghormuna,86.7938333330001,26.7876666670001
Ikra nala,86.7849166670001,26.7833055560001
Dumarpatti,86.6666388890001,26.8153055560001
Sarswoti,86.6443055560001,26.821416667
Manwasi Khola,86.4994722220001,26.920888889
Aaduwa Khola,87.993444444,26.6566388890001
Jaggira,87.6164444440001,26.428527778
Kajla,87.6149444440001,26.439916667
Holi(Aamdada),87.614055556,26.509166667
Gebriya,87.49625,26.5447222220001
Bedmari,87.4916111110001,26.501916667
Bakra,87.489861111,26.474222222
Kali Khola-1,87.3808611110001,26.657
Kali Khola-2,87.3803333330001,26.654138889
Kisti Khola,87.3695277780001,26.607555556
Chatava Canal,87.36325,26.587472222
Canal Crossing,87.349472222,26.5566666670001
RangdhaPaini,87.32,26.513916667
Singhiya Khola,87.293111111,26.5006388890001
Sunsari Mariya,87.1214722220001,26.545694444
Mariya -2,87.1178333330001,26.5215555560001
Chandra canal escape-1,86.9386111110001,26.729
Tengra,86.9388888890001,26.7167777780001
Chandra canal escape-2,86.9449166670001,26.704138889
Gangajali,86.9411944440001,26.696833333
Chandra canal escape-3,86.9388611110001,26.6888611110001
Chandra canal escape-4,86.9354166670001,26.690277778
Paradhar-1,86.9318888890001,26.670638889
Paradhar-2,86.919027778,26.650611111
Ghoal,86.9171944440001,26.6457500000001
Chandra canal,86.9050000000001,26.628
