LATITUDE,LONGITUDE,FID,HFNAME,DISTRICT,VDC,WARD,TYPE
29.13,81.26,new+AF8-HF.1,Chaurmandu PHC,achham,SIUDI,6,Primary Health Care Centre
29.19,81.14,new+AF8-HF.2,+ACI-District Hospital, Achham+ACI-,achham,MANGALSEN,6,District Hospital
29.06,81.34,new+AF8-HF.3,Kamalbazar PHC,achham,BAYALA,8,Primary Health Care Centre
29.17,81.33,new+AF8-HF.4,Darna SHP,achham,DARNA,4,Health Post
29.18,81.3,new+AF8-HF.5,Kalika HP,achham,KALIKA,6,Health Post
29.06,81.3,new+AF8-HF.6,Shera SHP,achham,SERA,9,Health Post
29.04,81.31,new+AF8-HF.7,Mastawandali HP,achham,MASHTANAMDALI,2,Health Post
29.02,81.3,new+AF8-HF.8,Ghodasain SHP,achham,DHODASAIN,5,Health Post
29.1,81.41,new+AF8-HF.9,Toli SHP,achham,TOLI,4,Health Post
29.08,81.44,new+AF8-HF.10,Layati SHP,achham,LAYATI,6,Health Post
29.11,81.44,new+AF8-HF.11,Pulletola SHP,achham,PULLETALA,7,Health Post
29.09,81.46,new+AF8-HF.12,Warala HP,achham,WARLA,4,Health Post
29.11,81.51,new+AF8-HF.13,Kalekanda HP,achham,KALEKANDA,5,Health Post
29.06,81.41,new+AF8-HF.14,Kuchhi HP,achham,KALIKASTHAN,5,Health Post
29.09,81.4,new+AF8-HF.15,Binayak SHP,achham,BINAYAK,5,Health Post
29.09,81.37,new+AF8-HF.16,Kuika SHP,achham,KUIKA,7,Health Post
29,81.37,new+AF8-HF.17,Dhamali SHP,achham,DHAMALI,3,Health Post
28.99,81.36,new+AF8-HF.18,Toshi SHP,achham,TOSI,4,Health Post
28.94,81.37,new+AF8-HF.19,Turmakhand HP,achham,TURMAKHAD,6,Health Post
28.98,81.4,new+AF8-HF.20,Raniban SHP,achham,RANIBAN,8,Health Post
28.78,81.56,new+AF8-HF.21,Rahaf SHP,achham,RAHAPH,4,Health Post
28.94,81.42,new+AF8-HF.22,Bhairabhsthan SHP,achham,BHAIRABSTHAN,5,Health Post
28.95,81.33,new+AF8-HF.23,Nada SHP,achham,NADA,6,Health Post
29.97,81.3,new+AF8-HF.24,Dhungachalna SHP,achham,DHUNGACHALNA,5,Health Post
30,81.27,new+AF8-HF.25,Dhakari SHP,achham,DHAKARI,3,Health Post
29.01,81.23,new+AF8-HF.26,Hichma HP,achham,HICHMA,4,Health Post
29.96,81.15,new+AF8-HF.27,Balata SHP,achham,WALANT,3,Health Post
29.05,81.19,new+AF8-HF.28,Basti HP,achham,BASTI,9,Health Post
29.1,81.22,new+AF8-HF.29,Kuntibandali SHP,achham,KUNTIBANDALI,4,Health Post
29.26,81.24,new+AF8-HF.30,Hattikot SHP,achham,HATIKOT,5,Health Post
29.19,81.24,new+AF8-HF.31,Chandika SHP,achham,CHANDIKA(BAYALPATA),8,Health Post
29.19,81.26,new+AF8-HF.32,Janalikot SHP,achham,JANALIKOT,9,Health Post
29.19,81.27,new+AF8-HF.33,Timilsen SHP,achham,TIMILSAIN,1,Health Post
29.21,81.26,new+AF8-HF.34,Gajara SHP,achham,GAJARA,4,Health Post
29.21,81.24,new+AF8-HF.35,Bhageshor SHP,achham,BHAGYASWORI,4,Health Post
29.24,81.24,new+AF8-HF.36,Nawathana SHP,achham,NAWATHANA,4,Health Post
29.23,81.28,new+AF8-HF.37,Nandegadha SHP,achham,NANDEGADA,1,Health Post
29.3,81.28,new+AF8-HF.38,Kushkot SHP,achham,KUSHKOT,2,Health Post
29.26,81.29,new+AF8-HF.39,Mellekh HP,achham,BINDHYAWASINI,8,Health Post
29.24,81.32,new+AF8-HF.40,Shodasha SHP,achham,KHODASADEVI,5,Health Post
29.28,81.36,new+AF8-HF.41,Rishidaha SHP,achham,RISIDAHA,4,Health Post
