FID,ogc_fid,osm_id,place,name,population,postal_cod,addr_postc,reference_,is_in,other_tags,FID_1,xcoord,ycoord
0,1,29922899,city,Pokhara,200000, , ,0, ,0,all_places.fid-49a111ac_169329b86fd_5872,83.991401999999994,28.209537999999998
1,2,31019262,neighbourhood,Ason, , , ,0, ,0,all_places.fid-49a111ac_169329b86fd_5873,85.312252099999995,27.707507900000000
2,3,31151023,suburb,Gyaneshwor, , , ,0, ,0,all_places.fid-49a111ac_169329b86fd_5874,85.331772000000001,27.708640299999999
3,4,31230179,suburb,Jagati, , , ,0, ,0,all_places.fid-49a111ac_169329b86fd_5875,85.436520700000003,27.666537200000000
4,5,67157058,city,Kathmandu,975000, , ,0,"Nepal, Asia",0,all_places.fid-49a111ac_169329b86fd_5876,85.320244000000002,27.708796000000000
5,6,245747373,village,Dighalbank,1000,855120, ,0, ,0,all_places.fid-49a111ac_169329b86fd_5877,87.864195199999997,26.445056699999999
6,7,245750151,town,Jaynagar,5000,847226, ,0, ,0,all_places.fid-49a111ac_169329b86fd_5878,86.139899999999997,26.588100000000001
7,8,245750195,village,Sirha, , , ,0, ,0,all_places.fid-49a111ac_169329b86fd_5879,86.158710999999997,26.591606500000001
8,9,245750864,town,Sursand,5000,843331, ,0, ,0,all_places.fid-49a111ac_169329b86fd_587a,85.722433199999998,26.644722399999999
9,10,245751352,town,Naksalbari,1000,734429, ,0, ,0,all_places.fid-49a111ac_169329b86fd_587b,88.200143900000000,26.684457099999999
10,11,245752363,town,Bairgania,1000,843313, ,0, ,0,all_places.fid-49a111ac_169329b86fd_587c,85.275456399999996,26.740090400000000
11,12,245753836,village,Sonbarsa, ,843330, ,0, ,0,all_places.fid-49a111ac_169329b86fd_587d,85.580345199999996,26.846931800000000
12,13,245753921,suburb,Akhta, , , ,0, ,0,all_places.fid-49a111ac_169329b86fd_587e,85.584259200000005,26.852932599999999
13,14,245754434,village,Adapur,1000,845300, ,0, ,0,all_places.fid-49a111ac_169329b86fd_587f,85.021020100000001,26.883289000000001
14,15,245754714,town,Raxaul,5000,845305, ,0, ,0,all_places.fid-49a111ac_169329b86fd_5880,84.852306900000002,26.983325600000001
15,16,245758907,village,Tashiding, ,737103, ,0, ,0,all_places.fid-49a111ac_169329b86fd_5881,88.064200000000000,27.418500000000002
16,17,245759124,village,Thuthibari, ,273305, ,0, ,0,all_places.fid-49a111ac_169329b86fd_5882,83.690495600000006,27.428001500000001
17,18,245759759,town,Barhni, ,272200, ,0, ,0,all_places.fid-49a111ac_169329b86fd_5883,82.790882600000003,27.497132499999999
18,19,245762527,village,Patna Bazar, ,271834, ,0, ,0,all_places.fid-49a111ac_169329b86fd_5884,81.763930099999996,27.889425599999999
19,20,245765433,village,Banbirpur, , , ,0, ,0,all_places.fid-49a111ac_169329b86fd_5885,80.933261400000006,28.435030999999999
20,21,253337898,village,Chormara, , , ,0, ,0,all_places.fid-49a111ac_169329b86fd_5886,84.017380000000003,27.613883000000001
