GAPA_NAPA,GN_TYPE,DISTRICT,PROVINCE,Com_nofaci,Com_1least,Com_Radio,Com_Televi,Com_Cablet,Com_comput,Com_intern,Com_Teleph,Com_Mobile,Cook_wood,Cook_Keros,Cook_LPgas,Cooking_Sa,Cook_Bioga,Cook_Elec,Cook_Other,Cook_Nosta,Light_Elec,Light_Kero,Light_Biog,Light_Sola,Light_Othe,Light_Nons,Water_Tap,Water_Tube,Water_Co_k,Water_Unco,Water_spou,Water_rive,Water_othe,Water_Nots,Toilet_Wit,Toilet_Flu,Toilet_Ord,Toilet_not
Aathrai Tribeni,Gaunpalika,TAPLEJUNG,1,541,2347,2001,323,38,21,16,27,1881,6492,82,20,51,1100,0,5,52,1448,3209,18,2966,109,52,491,7154,8,5,15,0,78,51,5569,1619,561,53
Maiwakhola,Gaunpalika,TAPLEJUNG,1,436,1755,1505,202,23,28,3,71,1307,13586,16,366,11,679,10,11,78,13283,573,9,41,769,82,2670,11586,10,7,34,37,334,79,8388,4354,1934,81
Meringden,Gaunpalika,TAPLEJUNG,1,739,1839,1434,82,6,12,0,33,1359,3937,3,1,1,4,0,0,23,29,23,1,772,3120,24,1827,39,22,385,1235,435,2,24,2710,729,506,24
Mikwakhola,Gaunpalika,TAPLEJUNG,1,410,1459,1235,55,1,6,1,52,1029,13435,41,954,18,794,10,16,88,12462,1795,36,41,934,88,1087,13802,13,9,216,1,145,83,5323,5768,4177,88
Phaktanglung,Gaunpalika,TAPLEJUNG,1,637,1888,1601,149,12,13,0,74,1079,7899,42,395,52,782,0,23,26,7524,1453,14,53,145,30,1143,7829,9,29,18,42,117,32,5155,2764,1268,32
Phungling,Nagarpalika,TAPLEJUNG,1,531,5447,4588,1648,992,294,95,451,4513,3346,58,12,31,288,0,0,25,1328,2118,10,263,16,25,25,3685,2,0,1,0,23,24,2033,807,895,25
Sidingba,Gaunpalika,TAPLEJUNG,1,600,1770,1506,79,12,8,1,97,1121,7550,31,237,93,634,0,30,82,6718,1700,20,123,12,84,586,7737,7,2,239,0,5,81,3079,3196,2298,84
Sirijangha,Gaunpalika,TAPLEJUNG,1,811,2415,2057,197,64,25,3,194,1521,12238,148,5059,33,2920,11,55,220,17737,2326,59,115,226,221,4531,15184,59,63,155,77,402,213,6697,12129,1640,218
Pathibhara Yangwarak,Gaunpalika,TAPLEJUNG,1,566,2268,1974,223,10,5,5,104,1750,9563,31,45,8,320,0,1,48,8354,1482,24,35,74,47,500,9142,17,7,9,193,103,45,5641,2232,2098,45
Falelung,Gaunpalika,PANCHTHAR,1,952,3553,3034,151,6,10,0,32,2027,5914,28,528,5,394,4,6,37,3737,1322,22,1586,212,37,2311,3274,342,592,263,69,28,37,2329,3269,1287,31
Falgunanda,Gaunpalika,PANCHTHAR,1,987,4156,3250,812,107,48,11,40,3283,3363,0,48,1,66,0,0,9,1233,40,0,1111,1094,9,2943,0,69,226,217,21,2,9,1760,1297,422,8
Hilihang,Gaunpalika,PANCHTHAR,1,864,3919,3300,337,45,19,3,142,2841,2711,10,56,4,209,0,2,6,246,457,6,1443,840,6,2560,0,23,172,192,46,0,5,1685,786,521,6
Kummayak,Gaunpalika,PANCHTHAR,1,706,2792,2319,514,43,31,4,25,2215,5956,34,2258,9,921,11,12,55,8116,684,17,165,218,56,6796,411,845,704,408,16,22,54,612,6744,1846,54
Miklajung,Gaunpalika,PANCHTHAR,1,1221,4305,3562,787,44,26,4,55,3232,6325,107,6037,11,1043,16,17,67,12549,760,36,172,38,68,8674,1953,2072,680,43,22,116,63,1069,9761,2724,69
Phidim,Nagarpalika,PANCHTHAR,1,1943,8940,6702,1496,1531,446,210,397,7097,4189,6,126,2,221,2,0,42,3076,905,11,346,208,42,4137,0,22,325,41,18,10,35,1414,2487,645,42
Tumbewa,Gaunpalika,PANCHTHAR,1,660,2148,1834,231,6,10,0,21,1490,8780,61,3908,13,1220,27,21,74,13107,846,31,11,33,76,7462,3689,1106,1357,316,3,96,75,2224,9934,1870,76
Yangwarak,Gaunpalika,PANCHTHAR,1,879,2917,2252,440,76,33,3,228,2179,10110,26,1037,7,681,8,24,50,10480,1069,20,268,55,51,4452,3124,1742,2159,152,56,209,49,3484,6405,2003,51
Chulachuli,Gaunpalika,ILAM,1,555,4042,2688,1301,123,65,19,102,2940,7033,71,10,53,33,2,1,188,2778,4109,11,291,14,188,246,6800,8,6,2,0,143,186,6044,677,483,187
Deumai,Nagarpalika,ILAM,1,800,6214,4956,2769,451,141,26,94,5270,2276,127,35,3083,13,0,175,125,1827,3833,5,38,7,124,477,5149,6,16,0,0,65,121,4832,543,340,119
Fakphokthum,Gaunpalika,ILAM,1,652,3947,3241,926,57,35,7,108,3110,3789,81,18,1831,7,0,112,81,1550,4274,2,11,1,81,236,5550,6,18,0,0,30,79,5339,328,171,81
Illam,Nagarpalika,ILAM,1,787,10524,7948,6259,1582,884,336,1196,8984,1674,95,18,3600,9,0,25,58,2413,2944,7,7,50,58,35,5188,9,11,1,12,167,56,4215,244,964,56
Mai,Nagarpalika,ILAM,1,398,4226,3320,1619,146,36,6,66,3637,1199,52,17,2446,5,0,21,90,1140,2585,4,11,0,90,133,3521,3,7,2,2,74,88,3512,97,131,90
Maijogmai,Gaunpalika,ILAM,1,1310,5745,4345,1591,157,58,8,215,3731,1492,84,14,3443,9,0,195,143,1867,3273,9,80,8,143,274,4853,15,40,1,0,54,143,4242,438,557,143
Mangsebung,Gaunpalika,ILAM,1,723,2981,2375,514,17,18,0,71,2088,3326,63,34,2026,114,1,5,64,1145,4194,13,204,13,64,203,5212,6,84,54,0,10,64,4970,335,264,64
Rong,Gaunpalika,ILAM,1,551,3725,2853,1226,63,27,3,95,2772,2106,151,59,2957,5,0,4,83,2147,3115,15,5,1,82,439,4716,7,42,1,1,79,80,4080,489,712,84
Sandakpur,Gaunpalika,ILAM,1,362,3219,2494,1261,92,34,2,20,2409,2282,130,16,2770,12,0,483,75,1534,4100,14,38,7,75,223,5325,4,23,1,0,117,75,4907,478,308,75
Suryodaya,Nagarpalika,ILAM,1,989,12096,9043,7322,2122,353,60,611,9705,1424,36,8,2179,5,0,93,31,2103,1614,5,15,7,32,470,3131,6,7,1,1,132,28,3017,349,379,31
Arjundhara,Nagarpalika,JHAPA,1,753,12824,7465,9360,1753,804,251,834,10668,7562,33,108,34,286,0,26,62,6599,1422,3,24,2,61,609,7284,15,108,3,1,30,61,6240,1291,518,62
Barhadashi,Gaunpalika,JHAPA,1,641,6670,3864,3496,104,156,32,71,4938,5226,76,70,2237,4,2,63,95,5083,2495,9,30,61,95,889,6575,10,58,1,0,146,94,6324,934,420,95
Bhadrapur,Nagarpalika,JHAPA,1,862,14334,7853,10835,3628,1469,574,2217,10896,6125,26,319,10,635,3,2,42,4982,1669,23,404,41,43,6447,26,69,377,119,69,16,39,3481,2170,1469,42
Birtamod,Nagarpalika,JHAPA,1,892,18145,9662,12263,6843,2624,957,2401,15447,1862,89,11,2542,14,0,137,52,2311,2319,5,16,6,50,307,4078,9,115,2,1,146,49,4192,282,181,52
Buddhashanti,Gaunpalika,JHAPA,1,580,8775,5941,6479,1037,496,255,546,7574,2710,18,53,329,1,1,19,35,2576,523,2,26,3,36,591,2469,5,0,1,1,64,35,2386,547,197,36
Damak,Nagarpalika,JHAPA,1,878,17167,9849,12333,6689,2357,805,3169,15344,2453,27,17,1034,1,0,33,20,2452,1097,5,11,1,19,287,3250,11,8,8,0,3,18,3017,300,249,19
Gauradhaha,Nagarpalika,JHAPA,1,1013,11037,6138,7340,382,319,107,431,8520,2404,28,101,1023,9,1,1,59,2563,925,6,17,57,58,201,3143,4,5,0,1,214,58,2658,533,378,57
Gauriganj,Gaunpalika,JHAPA,1,815,6312,2743,2480,341,122,32,99,3707,3905,137,41,2742,21,2,191,54,3699,3288,19,31,4,52,99,6812,12,55,6,1,58,50,5840,796,403,54
Haldibari,Gaunpalika,JHAPA,1,294,6100,3626,4228,187,203,58,106,4735,575,51,2,3199,11,0,129,68,1612,2338,4,13,0,68,167,3768,19,10,3,0,4,64,3690,196,82,67
Jhapa,Gaunpalika,JHAPA,1,1041,6042,2627,2928,341,107,26,36,4097,5236,32,9,327,2,1,0,74,4988,596,2,21,0,74,389,5206,1,1,0,0,14,70,4663,520,425,73
Kachankawal,Gaunpalika,JHAPA,1,850,7807,3833,3618,189,71,32,23,4356,2343,38,10,1070,4,0,77,34,2481,1030,3,28,0,34,24,3452,5,3,0,2,57,33,2870,408,265,33
Kamal,Gaunpalika,JHAPA,1,634,9527,5242,6717,1119,450,108,514,8203,22607,480,14708,898,27,28,20,518,35728,2780,109,71,83,515,6934,31141,70,38,345,6,253,499,14308,19779,4683,516
Kankai,Nagarpalika,JHAPA,1,737,8674,5418,6636,1240,658,238,887,7131,1991,67,34,1820,1,0,13,57,1146,2748,6,24,2,57,719,3133,8,6,2,60,1,54,3364,365,197,57
Mechinagar,Nagarpalika,JHAPA,1,1871,23490,12311,17223,5245,1715,594,2433,18803,869,22,2,2048,5,0,3,26,1656,1288,0,4,1,26,57,2750,9,7,1,0,125,26,2687,178,84,26
Shivasataxi,Nagarpalika,JHAPA,1,991,13631,8084,9619,946,565,154,690,11406,2060,49,15,2735,11,0,4,79,1890,2956,4,24,1,78,493,4371,3,3,6,0,2,75,4550,185,140,78
Belbari,Nagarpalika,MORANG,1,1141,14076,6629,9479,1597,653,169,694,11205,1914,10,2,3,0,1,1,18,914,103,3,710,201,18,1525,0,1,82,87,234,2,18,1284,211,436,18
Biratnagar,Mahanagarpalika,MORANG,1,2574,44773,21535,14410,21869,8455,4246,9897,36649,3102,2,5,0,0,0,3,16,1452,401,73,450,736,16,2830,0,0,5,163,114,0,16,1653,515,945,15
Budhiganga,Gaunpalika,MORANG,1,865,8699,3297,5321,1341,382,86,571,5656,4713,18,195,1,289,15,2,20,4375,654,5,104,95,20,3999,1,4,81,1076,73,0,19,1264,2072,1897,20
Dhanpalthan,Gaunpalika,MORANG,1,961,6912,2057,3082,376,75,7,74,3636,7404,65,4834,7,722,3,35,57,12461,550,11,4,43,58,5614,10,128,518,6772,22,7,56,1284,8712,3073,58
Gramthan,Gaunpalika,MORANG,1,449,7437,2792,3783,834,168,39,87,4474,8582,18,617,5,679,9,2,12,8708,1182,11,9,2,12,5780,9,947,1331,1707,135,4,11,2482,3511,3920,11
Jahada,Gaunpalika,MORANG,1,916,7220,1485,1950,264,67,10,19,3031,5889,14,517,0,206,4,3,49,6231,389,2,6,5,49,4197,0,68,199,2112,42,14,50,1555,2830,2251,46
Kanepokhari,Gaunpalika,MORANG,1,876,7728,3574,4639,516,165,60,117,6291,5351,13,155,0,354,1,0,22,4628,1095,0,139,12,22,4794,0,37,129,898,16,1,21,1603,2390,1881,22
Katahari,Gaunpalika,MORANG,1,746,7201,2781,3497,780,130,59,122,4489,5682,37,65,1,20,1,1,22,2506,2684,2,611,4,22,3641,0,133,422,1520,88,5,20,2781,1195,1834,19
Kerabari,Gaunpalika,MORANG,1,1091,5848,3831,2530,539,141,23,150,4764,5172,50,4185,12,939,14,10,40,9862,428,22,16,53,41,9670,10,49,102,496,8,51,36,630,8140,1612,40
Letang,Nagarpalika,MORANG,1,917,6364,3954,2865,1440,370,77,645,5406,4006,14,144,0,162,5,0,6,2324,1520,6,338,143,6,3713,5,20,158,428,7,0,6,2006,1625,700,6
Miklajung,Gaunpalika,MORANG,1,1221,4305,3562,787,44,26,4,55,3232,6325,107,6037,11,1043,16,17,67,12549,760,36,172,38,68,8674,1953,2072,680,43,22,116,63,1069,9761,2724,69
Patahrishanishchare,Nagarpalika,MORANG,1,1031,12779,5901,7558,1756,755,144,874,11011,2406,4,22,5,1,1,0,13,1191,483,2,751,12,13,2378,2,12,11,25,12,0,12,873,1097,472,10
Rangeli,Nagarpalika,MORANG,1,1718,9483,3539,5094,870,112,52,440,6215,4618,9,618,25,593,4,3,18,3836,930,24,799,282,17,4578,8,132,356,770,26,0,18,853,2892,2126,17
Ratuwamai,Nagarpalika,MORANG,1,1430,10907,3919,5796,192,178,37,250,7555,3887,10,361,3,135,2,1,10,3621,629,11,127,11,10,4183,0,2,22,176,17,0,9,1301,1947,1151,10
Sundarharaicha,Nagarpalika,MORANG,1,1136,17261,8282,12620,1686,1122,290,1376,14352,3084,16,256,5,1361,5,2,22,3231,1140,14,315,29,22,3963,8,40,252,415,49,2,22,975,2562,1192,22
Sunwarshi,Nagarpalika,MORANG,1,1762,8975,2432,4400,220,97,11,121,5803,3575,37,2397,8,1120,18,5,39,6737,370,27,19,7,39,6214,68,103,94,642,32,8,38,292,5609,1259,39
Uralabari,Nagarpalika,MORANG,1,740,11732,5808,8449,1719,886,237,1266,9821,2674,14,1899,4,250,50,6,14,4023,541,14,197,122,14,4576,32,14,94,88,85,8,14,912,3243,742,14
Barah,Nagarpalika,SUNSARI,1,1840,15544,7522,9722,1401,414,78,386,12272,3332,0,0,0,6,0,0,12,866,12,0,543,1917,12,2474,0,17,121,721,5,0,12,1566,694,1078,12
Barju,Gaunpalika,SUNSARI,1,672,5553,2075,2606,728,48,4,63,3432,2710,5,6,0,4,0,0,14,28,327,76,1371,923,14,1171,0,84,347,775,339,9,14,2377,170,178,14
Bhokraha Narsingh,Gaunpalika,SUNSARI,1,1112,5630,1854,1518,105,58,10,39,3926,5363,8,4,3,17,0,2,83,134,1040,0,2958,1266,82,3180,1,152,337,1144,486,97,83,4035,1040,322,83
Dewanganj,Gaunpalika,SUNSARI,1,881,5450,1759,1156,213,47,8,82,3082,2929,2,0,0,0,0,0,22,238,447,30,1279,939,20,2217,0,8,171,411,117,8,21,1588,522,822,21
Dharan,Upamahanagarpalika,SUNSARI,1,2010,30389,14135,18509,14818,4589,1575,7682,26355,2404,10,0,0,1,0,0,32,285,667,21,1053,389,32,1226,0,61,158,793,117,60,32,1965,257,193,32
Duhabi,Nagarpalika,SUNSARI,1,1132,10699,4020,6550,1877,391,128,454,7876,3860,11,101,0,5,0,3,35,1853,626,9,497,996,34,2984,0,19,310,587,78,2,35,2623,988,370,34
Gadhi,Gaunpalika,SUNSARI,1,809,6164,2344,2924,542,129,15,70,3740,355,0,0,1,4,0,0,3,11,0,0,300,49,3,182,0,0,1,173,1,3,3,347,8,5,3
Harinagar,Gaunpalika,SUNSARI,1,902,5871,1806,1391,110,80,8,39,3505,3550,5,8,0,5,0,5,13,11,375,5,1939,1243,13,1927,0,174,431,650,386,6,12,2390,836,347,13
Inaruwa,Nagarpalika,SUNSARI,1,990,11975,5738,7447,2348,746,313,1259,9345,3087,4,1,0,0,1,0,12,2211,159,5,297,421,12,2511,0,60,68,342,113,0,11,2480,343,270,12
Itahari,Upamahanagarpalika,SUNSARI,1,1473,31998,13591,24477,8195,3786,1014,4261,27584,2442,0,0,0,1,0,0,13,218,323,46,1192,664,13,1983,0,22,88,256,94,0,13,1244,682,517,13
Koshi,Gaunpalika,SUNSARI,1,2554,5961,2419,1369,256,52,4,43,3696,1412,2,0,0,0,0,0,4,127,29,81,772,405,4,913,0,27,98,210,165,1,4,1187,113,114,4
Ramdhuni,Nagarpalika,SUNSARI,1,795,10648,4225,7684,954,401,77,409,7949,1971,1,1,0,0,0,0,27,241,23,11,638,1060,27,1725,0,7,18,187,36,2,25,1124,596,254,26
Koshi Tappu Wildlife Reserve,Wildlife Reserve,SUNSARI,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Chaubise,Gaunpalika,DHANKUTA,1,684,3808,2952,1191,117,76,14,51,3198,1276,102,41,4241,7,0,8,22,2068,3566,6,33,2,22,62,5550,6,30,1,2,25,21,4699,651,325,22
Chhathar Jorpati,Gaunpalika,DHANKUTA,1,540,3643,2483,1729,216,69,32,87,3334,1070,101,27,2791,12,0,5,72,1431,2541,7,21,6,72,12,3868,2,40,4,4,79,69,3546,280,180,72
Dhankuta,Nagarpalika,DHANKUTA,1,587,8763,6110,5618,2123,832,370,1238,8005,695,44,21,3231,3,0,11,42,1956,2005,1,37,6,42,17,3880,8,17,0,0,85,40,3681,271,53,42
Shahidbhumi,Gaunpalika,DHANKUTA,1,702,3129,2178,1121,60,28,6,70,2521,239,60,26,3824,15,0,16,65,376,3629,7,166,0,67,13,4063,8,65,0,2,32,62,3821,241,116,67
Mahalaxmi,Nagarpalika,DHANKUTA,1,424,14267,7972,9291,8829,4793,1805,4558,12603,3426,9,20,1,19,1,0,35,2721,706,8,40,1,35,3277,0,23,93,77,7,1,33,1301,1279,898,33
Pakhribas,Nagarpalika,DHANKUTA,1,545,4375,3379,2063,335,113,39,147,3783,178,26,9,3395,7,0,5,41,2741,856,4,18,1,41,231,3284,5,11,1,0,90,39,3143,217,260,41
Sangurigadhi,Gaunpalika,DHANKUTA,1,899,4111,2868,1563,133,66,16,70,3598,214,56,41,3139,7,0,3,9,2122,1275,10,52,1,9,32,3373,5,25,2,2,22,8,3033,343,85,8
Aathrai,Gaunpalika,TERHATHUM,1,830,3630,3057,363,35,15,1,80,2551,3521,13,5,4,69,1,0,27,2320,1214,4,71,4,27,24,3571,6,0,0,0,13,26,2394,490,729,27
Chhathar,Gaunpalika,TERHATHUM,1,490,3097,2325,1188,26,38,10,48,2361,6310,67,71,12,882,1,2,47,3768,3364,39,84,89,48,517,6644,11,6,1,12,154,47,1984,1716,3644,48
Laligurans,Nagarpalika,TERHATHUM,1,427,3198,2160,1608,314,80,42,116,2873,8689,37,373,13,682,0,36,79,6438,3347,7,19,13,85,355,9334,8,6,0,1,120,85,4436,2650,2740,83
Menchayam,Gaunpalika,TERHATHUM,1,289,1457,1187,281,73,21,6,48,1106,8253,40,156,11,362,1,2,32,7573,1078,17,47,110,32,170,8434,38,5,6,21,152,31,5343,2285,1198,31
Myanglung,Nagarpalika,TERHATHUM,1,371,4180,3199,2168,1196,202,99,495,3630,3250,6,2,4,9,0,1,8,1126,419,7,409,1311,8,2395,7,151,249,228,229,13,8,1032,1613,627,8
Phedap,Gaunpalika,TERHATHUM,1,602,3166,2601,546,31,25,4,30,2606,3271,6,3,0,0,2,1,28,1932,274,9,113,955,28,2454,1,2,62,255,36,473,28,1014,1605,665,27
Bhotkhola,Gaunpalika,SANKHUWASABHA,1,604,771,621,23,0,0,0,2,329,12185,42,176,27,788,1,12,37,8057,1408,24,158,3585,36,167,12862,17,37,7,1,141,36,6240,2971,4021,36
Chainpur,Nagarpalika,SANKHUWASABHA,1,883,4966,3826,1220,471,171,51,289,4108,5404,20,39,31,633,2,0,6,3434,1486,26,511,672,6,119,5886,10,6,7,18,84,5,3754,900,1475,6
Chichila,Gaunpalika,SANKHUWASABHA,1,303,1187,1027,57,6,5,0,59,813,10624,125,1455,425,378,10,30,17,7574,5140,31,39,263,17,2283,10639,35,3,2,2,85,15,7127,2761,3159,17
Dharmadevi,Nagarpalika,SANKHUWASABHA,1,614,3309,2306,1146,90,57,8,151,2856,8465,22,450,17,582,2,5,26,5890,631,16,827,2179,26,1476,7826,6,107,2,15,112,25,2567,2368,4609,25
Khandbari,Nagarpalika,SANKHUWASABHA,1,870,6405,4658,1927,1698,472,179,913,5151,9795,49,261,114,674,1,6,16,6816,3617,40,334,93,16,334,10465,10,22,8,1,60,16,7064,1440,2396,16
Madi,Nagarpalika,SANKHUWASABHA,1,373,2792,2130,836,171,39,7,149,2364,7736,27,300,13,540,1,9,26,5095,1618,21,256,1636,26,292,8215,19,18,3,4,75,26,3822,2306,2499,25
Makalu,Gaunpalika,SANKHUWASABHA,1,640,2255,1920,53,6,6,0,26,1344,6353,5,0,17,12,0,3,31,160,426,16,1917,3871,31,4082,7,15,468,1408,359,51,31,4291,179,1921,30
Panchakhapan,Nagarpalika,SANKHUWASABHA,1,788,2828,2164,402,56,26,5,45,2315,3716,5,1,7,1,2,1,14,1019,143,6,1489,1076,14,2666,2,2,49,890,99,25,14,2391,322,1020,14
