FID,the_geom,NQID,HFNAME,DISTRICT,VDC,WARD,LATITUDE,LONGITUDE,ALTITUDE,TYPE,EZONE,MAJROTYP,REGION
new_HF.1,POINT (81.26 29.13),6901,Chaurmandu PHC,achham,SIUDI,6,29.13,81.26,1750,Primary Health Care Centre,Hill,PHCC,Far western
new_HF.2,POINT (81.14 29.19),6901,"District Hospital, Achham",achham,MANGALSEN,6,29.19,81.14,1450,District Hospital,Hill,Government hospital,Far western
new_HF.3,POINT (81.34 29.06),6902,Kamalbazar PHC,achham,BAYALA,8,29.06,81.34,1908,Primary Health Care Centre,Hill,PHCC,Far western
new_HF.4,POINT (81.33 29.17),69001,Darna SHP,achham,DARNA,4,29.17,81.33,1083,Health Post,Hill,SHP,Far western
new_HF.5,POINT (81.3 29.18),69002,Kalika HP,achham,KALIKA,6,29.18,81.3,1314,Health Post,Hill,HP,Far western
new_HF.6,POINT (81.3 29.06),69003,Shera SHP,achham,SERA,9,29.06,81.3,1123,Health Post,Hill,SHP,Far western
new_HF.7,POINT (81.31 29.04),69004,Mastawandali HP,achham,MASHTANAMDALI,2,29.04,81.31,1364,Health Post,Hill,HP,Far western
new_HF.8,POINT (81.3 29.02),69005,Ghodasain SHP,achham,DHODASAIN,5,29.02,81.3,1662,Health Post,Hill,SHP,Far western
new_HF.9,POINT (81.41 29.1),69006,Toli SHP,achham,TOLI,4,29.1,81.41,1345,Health Post,Hill,SHP,Far western
new_HF.10,POINT (81.44 29.08),69007,Layati SHP,achham,LAYATI,6,29.08,81.44,1037,Health Post,Hill,SHP,Far western
new_HF.11,POINT (81.44 29.11),69008,Pulletola SHP,achham,PULLETALA,7,29.11,81.44,1317,Health Post,Hill,SHP,Far western
new_HF.12,POINT (81.46 29.09),69009,Warala HP,achham,WARLA,4,29.09,81.46,1287,Health Post,Hill,HP,Far western
new_HF.13,POINT (81.51 29.11),69010,Kalekanda HP,achham,KALEKANDA,5,29.11,81.51,1310,Health Post,Hill,HP,Far western
new_HF.14,POINT (81.41 29.06),69011,Kuchhi HP,achham,KALIKASTHAN,5,29.06,81.41,1266,Health Post,Hill,HP,Far western
new_HF.15,POINT (81.4 29.09),69012,Binayak SHP,achham,BINAYAK,5,29.09,81.4,1434,Health Post,Hill,SHP,Far western
new_HF.16,POINT (81.37 29.09),69013,Kuika SHP,achham,KUIKA,7,29.09,81.37,1117,Health Post,Hill,SHP,Far western
new_HF.17,POINT (81.37 29),69014,Dhamali SHP,achham,DHAMALI,3,29,81.37,1092,Health Post,Hill,SHP,Far western
new_HF.18,POINT (81.36 28.99),69015,Toshi SHP,achham,TOSI,4,28.99,81.36,1342,Health Post,Hill,SHP,Far western
new_HF.19,POINT (81.37 28.94),69016,Turmakhand HP,achham,TURMAKHAD,6,28.94,81.37,1490,Health Post,Hill,HP,Far western
new_HF.20,POINT (81.4 28.98),69017,Raniban SHP,achham,RANIBAN,8,28.98,81.4,1219,Health Post,Hill,SHP,Far western
new_HF.21,POINT (81.56 28.78),69018,Rahaf SHP,achham,RAHAPH,4,28.78,81.56,1078,Health Post,Hill,SHP,Far western
new_HF.22,POINT (81.42 28.94),69019,Bhairabhsthan SHP,achham,BHAIRABSTHAN,5,28.94,81.42,1165,Health Post,Hill,SHP,Far western
new_HF.23,POINT (81.33 28.95),69020,Nada SHP,achham,NADA,6,28.95,81.33,1190,Health Post,Hill,SHP,Far western
new_HF.24,POINT (81.3 29.97),69021,Dhungachalna SHP,achham,DHUNGACHALNA,5,29.97,81.3,1425,Health Post,Hill,SHP,Far western
new_HF.25,POINT (81.27 30),69022,Dhakari SHP,achham,DHAKARI,3,30,81.27,1563,Health Post,Hill,SHP,Far western
new_HF.26,POINT (81.23 29.01),69023,Hichma HP,achham,HICHMA,4,29.01,81.23,1380,Health Post,Hill,HP,Far western
new_HF.27,POINT (81.15 29.96),69024,Balata SHP,achham,WALANT,3,29.96,81.15,1190,Health Post,Hill,SHP,Far western
new_HF.28,POINT (81.19 29.05),69025,Basti HP,achham,BASTI,9,29.05,81.19,1079,Health Post,Hill,HP,Far western
new_HF.29,POINT (81.22 29.1),69026,Kuntibandali SHP,achham,KUNTIBANDALI,4,29.1,81.22,1389,Health Post,Hill,SHP,Far western
new_HF.30,POINT (81.24 29.26),69027,Hattikot SHP,achham,HATIKOT,5,29.26,81.24,929,Health Post,Hill,SHP,Far western
new_HF.31,POINT (81.24 29.19),69028,Chandika SHP,achham,CHANDIKA(BAYALPATA),8,29.19,81.24,1218,Health Post,Hill,SHP,Far western
new_HF.32,POINT (81.26 29.19),69029,Janalikot SHP,achham,JANALIKOT,9,29.19,81.26,1327,Health Post,Hill,SHP,Far western
new_HF.33,POINT (81.27 29.19),69030,Timilsen SHP,achham,TIMILSAIN,1,29.19,81.27,1355,Health Post,Hill,SHP,Far western
new_HF.34,POINT (81.26 29.21),69031,Gajara SHP,achham,GAJARA,4,29.21,81.26,1024,Health Post,Hill,SHP,Far western
new_HF.35,POINT (81.24 29.21),69032,Bhageshor SHP,achham,BHAGYASWORI,4,29.21,81.24,982,Health Post,Hill,SHP,Far western
new_HF.36,POINT (81.24 29.24),69033,Nawathana SHP,achham,NAWATHANA,4,29.24,81.24,1156,Health Post,Hill,SHP,Far western
new_HF.37,POINT (81.28 29.23),69034,Nandegadha SHP,achham,NANDEGADA,1,29.23,81.28,1727,Health Post,Hill,SHP,Far western
new_HF.38,POINT (81.28 29.3),69035,Kushkot SHP,achham,KUSHKOT,2,29.3,81.28,1494,Health Post,Hill,SHP,Far western
new_HF.39,POINT (81.29 29.26),69036,Mellekh HP,achham,BINDHYAWASINI,8,29.26,81.29,1750,Health Post,Hill,HP,Far western
new_HF.40,POINT (81.32 29.24),69037,Shodasha SHP,achham,KHODASADEVI,5,29.24,81.32,1736,Health Post,Hill,SHP,Far western
new_HF.41,POINT (81.36 29.28),69038,Rishidaha SHP,achham,RISIDAHA,4,29.28,81.36,1702,Health Post,Hill,SHP,Far western
new_HF.42,POINT (81.31 29.31),69039,Thanti HP,achham,THANTI,3,29.31,81.31,1322,Health Post,Hill,HP,Far western
new_HF.43,POINT (81.25 29.31),69040,Babla SHP,achham,BABALA,9,29.31,81.25,1426,Health Post,Hill,SHP,Far western
new_HF.44,POINT (81.21 29.33),69041,Khaptad SHP,achham,KHAPTAD,2,29.33,81.21,1705,Health Post,Hill,SHP,Far western
new_HF.45,POINT (81.22 29.29),69042,Devisthan SHP,achham,DEVISTHAN,5,29.29,81.22,1465,Health Post,Hill,SHP,Far western
new_HF.46,POINT (81.24 29.28),69043,Ghughurkot SHP,achham,DHUDHARUKOT,6,29.28,81.24,940,Health Post,Hill,SHP,Far western
new_HF.47,POINT (81.36 29.16),69044,Malatikot SHP,achham,MALATIKOT,1,29.16,81.36,1413,Health Post,Hill,SHP,Far western
new_HF.48,POINT (81.38 29.16),69045,Chafamandu SHP,achham,CHAPHAMANDAU,7,29.16,81.38,1400,Health Post,Hill,SHP,Far western
new_HF.49,POINT (81.39 29.17),69046,Shantada HP,achham,SANTADA,2,29.17,81.39,1320,Health Post,Hill,HP,Far western
new_HF.50,POINT (81.41 29.2),69047,Bhatakatiya SHP,achham,BHATAKATIYA,5,29.2,81.41,1729,Health Post,Hill,SHP,Far western
new_HF.51,POINT (81.37 29.18),69048,Sutar SHP,achham,SUTAR,7,29.18,81.37,1582,Health Post,Hill,SHP,Far western
new_HF.52,POINT (81.43 29.21),69049,Ramaroshan SHP,achham,RAMAROSAN,5,29.21,81.43,1814,Health Post,Hill,SHP,Far western
new_HF.53,POINT (81.43 29.18),69050,Batulasen SHP,achham,BATULASEN,2,29.18,81.43,1507,Health Post,Hill,SHP,Far western
new_HF.54,POINT (81.34 29.16),69051,Kalagaun SHP,achham,KALAGAU,3,29.16,81.34,1283,Health Post,Hill,SHP,Far western
new_HF.55,POINT (81.33 29.14),69052,Bannatoli SHP,achham,BANNATOLI,7,29.14,81.33,1322,Health Post,Hill,SHP,Far western
new_HF.56,POINT (81.31 29.16),69053,Jupu HP,achham,JUPU,7,29.16,81.31,971,Health Post,Hill,HP,Far western
new_HF.57,POINT (81.28 29.15),69054,Oligaun SHP,achham,OLIGAU,9,29.15,81.28,941,Health Post,Hill,SHP,Far western
new_HF.58,POINT (81.18 29.17),69055,Payal SHP,achham,PAYAL,5,29.17,81.18,1345,Health Post,Hill,SHP,Far western
new_HF.59,POINT (81.13 29.2),69056,Lungra SHP,achham,LUNGRA,7,29.2,81.13,1050,Health Post,Hill,SHP,Far western
new_HF.60,POINT (81.14 29.26),69057,Patalkot SHP,achham,PATALKOT,1,29.26,81.14,1441,Health Post,Hill,SHP,Far western
new_HF.61,POINT (81.25 29.24),69058,Mastamandu SHP,achham,MASTAMANDAU,7,29.24,81.25,1004,Health Post,Hill,SHP,Far western
new_HF.62,POINT (81.21 29.25),69059,Siddeshwor HP,achham,SIDDHESWOR,7,29.25,81.21,1010,Health Post,Hill,HP,Far western
new_HF.63,POINT (81.18 29.26),69060,Budhakot SHP,achham,BUDHAKOT,7,29.26,81.18,1496,Health Post,Hill,SHP,Far western
new_HF.64,POINT (81.2 29.21),69061,Baijanath SHP,achham,BAIJINATH,6,29.21,81.2,642,Health Post,Hill,SHP,Far western
new_HF.65,POINT (81.11 29.27),69062,Duni HP,achham,DUNI,2,29.27,81.11,1710,Health Post,Hill,HP,Far western
new_HF.66,POINT (81.07 29.19),69063,Soukat HP,achham,SOUKAT,4,29.19,81.07,1175,Health Post,Hill,HP,Far western
new_HF.67,POINT (81.19 29.23),69064,Shrikot HP,achham,JALAPADEVI,1,29.23,81.19,940,Health Post,Hill,HP,Far western
new_HF.68,POINT (81.28 29.2),69065,Jayagadh HP,achham,BARADADIVI,1,29.2,81.28,1352,Health Post,Hill,HP,Far western
new_HF.69,POINT (81.28 29.1),69066,Janalibandali SHP,achham,JANALIBANDALI,6,29.1,81.28,1618,Health Post,Hill,SHP,Far western
new_HF.70,POINT (81.32 29.1),69067,Birpath SHP,achham,BIRPATH,4,29.1,81.32,1662,Health Post,Hill,SHP,Far western
