id,Risk_Score
69,2.257
51,3.232
45,3.414
74,2.663
68,1.898
67,3.09
57,2.006
33,1.638
58,2.37
26,1.518
10,2.838
35,2.186
73,3.427
60,4.001
56,2.601
75,3.119
30,3.259
7,2.582
17,1.543
22,2.509
62,3.064
70,3.087
36,2.747
46,3.612
66,3.275
3,2.64
61,3.554
4,1.635
63,2.736
24,2.881
71,3.609
64,3.163
72,1.916
50,2.721
40,1.951
27,2.613
13,2.772
25,1.635
37,2.324
18,1.526
31,2.472
41,2.064
5,1.509
65,2.649
42,2.093
43,2.864
76,2.613
48,2.613
28,2.776
12,2.801
47,3.061
2,2.756
44,2.471
34,1.558
52,3.429
21,2.718
29,1.985
32,2.189
53,3.417
77,3.163
54,3.163
49,2.775
55,3.323
9,2.62
15,1.481
19,1.845
20,2.827
23,2.664
16,1.857
11,2.686
6,1.632
59,2.295
39,2.872
38,2.844
1,2.404
8,2.148
14,2.301
